date,open,high,low,close,volume
2025-02-20,"38,942.91","38,967.01","38,468.72","38,678.04",
2025-02-19,"39,230.62","39,298.05","38,994.70","39,164.61",
2025-02-18,"39,187.99","39,508.55","39,151.71","39,270.40",
2025-02-17,"39,094.09","39,238.75","39,021.23","39,174.25",
2025-02-14,"39,419.25","39,543.93","39,133.94","39,149.43",
2025-02-13,"39,225.50","39,581.47","39,112.17","39,461.47",
2025-02-12,"39,049.12","39,102.65","38,794.24","38,963.70",
2025-02-10,"38,736.37","38,895.74","38,606.32","38,801.17",
2025-02-07,"38,907.76","39,007.94","38,753.20","38,787.02",
2025-02-06,"38,977.58","39,190.13","38,851.51","39,066.53",
2025-02-05,"38,979.21","39,118.95","38,682.18","38,831.48",
2025-02-04,"39,078.66","39,192.51","38,590.96","38,798.37",
2025-02-03,"38,932.66","38,948.61","38,401.82","38,520.09",
2025-01-31,"39,574.38","39,681.82","39,458.95","39,572.49",
2025-01-30,"39,302.85","39,600.93","39,221.36","39,513.97",
2025-01-29,"39,273.80","39,448.24","39,129.14","39,414.78",
2025-01-28,"39,400.02","39,448.55","38,886.05","39,016.87",
2025-01-27,"40,127.74","40,255.68","39,520.79","39,565.80",
2025-01-24,"40,060.49","40,279.79","39,806.69","39,931.98",
2025-01-23,"39,810.06","40,036.07","39,677.22","39,958.87",
2025-01-22,"39,355.22","39,694.57","39,332.63","39,646.25",
2025-01-21,"39,163.53","39,238.21","38,643.84","39,027.98",
2025-01-20,"38,671.77","39,032.93","38,671.77","38,902.50",
2025-01-17,"38,454.10","38,503.94","38,055.68","38,451.46",
2025-01-16,"38,732.65","38,932.54","38,426.20","38,572.60",
2025-01-15,"38,721.61","38,774.99","38,316.01","38,444.58",
2025-01-14,"39,010.96","39,054.35","38,305.91","38,474.30",
2025-01-10,"39,550.25","39,591.46","39,166.05","39,190.40",
2025-01-09,"39,888.91","39,930.07","39,385.05","39,605.09",
2025-01-08,"39,879.36","40,105.72","39,705.81","39,981.06",
2025-01-07,"39,584.36","40,288.80","39,584.36","40,083.30",
2025-01-06,"39,945.42","39,993.50","39,232.78","39,307.05",
